,Algorithm,TSPA,TSPB,TSPC,TSPD
0,Greedy-edges-Random,77965.71 (75112.0 - 82142.0),71018.74 (68315.0 - 74769.0),51652.62 (49206.0 - 54174.0),48705.455 (45913.0 - 51873.0)
1,Greedy-edges-GreedyHeuristic,75438.075 (74521.0 - 77298.0),70388.815 (67808.0 - 76131.0),53714.495 (51034.0 - 56971.0),51525.635 (47281.0 - 57524.0)
2,Greedy-nodes-Random,90554.405 (83565.0 - 100644.0),85537.285 (77218.0 - 93542.0),63718.49 (56594.0 - 71397.0),61963.345 (54964.0 - 69495.0)
3,Greedy-nodes-GreedyHeuristic,75512.725 (74521.0 - 77471.0),70688.61 (68572.0 - 76529.0),53967.21 (51195.0 - 56739.0),51145.425 (47368.0 - 57605.0)
4,Steepest-edges-Random,78307.45 (75390.0 - 83932.0),71637.29 (68186.0 - 77703.0),51692.4 (49183.0 - 54617.0),48647.455 (46150.0 - 51579.0)
5,Steepest-edges-GreedyHeuristic,75391.6 (74541.0 - 77063.0),70215.965 (68122.0 - 75907.0),53529.02 (50972.0 - 57024.0),51093.845 (46915.0 - 57412.0)
6,Steepest-nodes-Random,93224.675 (84578.0 - 101323.0),88096.545 (80827.0 - 96390.0),65743.78 (58924.0 - 77555.0),64443.6 (55944.0 - 78053.0)
7,Steepest-nodes-GreedyHeuristic,75606.625 (74630.0 - 76953.0),70758.4 (68572.0 - 76545.0),53807.135 (51203.0 - 57026.0),51203.305 (46990.0 - 55945.0)
