Algorithm,TSPA,TSPB,TSPC,TSPD
Greedy-intra-GreedyHeuristic,0.9232(0.3357 – 1.1102),0.7168 (0.4455 – 0.9193),0.796 (0.352 – 1.1734),0.974 (0.436- 1.2247)
Greedy-intra-Random,2.1334 (1.5299 – 2.3991),1.9636 (1.0065 – 2.0241),1.8150 (1.0238 – 2.1812),2.2499(1.6373- 2.5309)
Greedy-inter-GreedyHeuristic,0.7537 (0.435 – 1.0116),0.8029 (0.649 – 1.2184),0.9646(0.7446 – 1.3169),0.1693 (0.0604 – 0.3824)
Greedy-inter-Random,4.9058 (4.12 - 5.808),5.1961 (4.416 - 6.222),4.9152 (4.144 - 5.932) ,5.0008 (4.07 - 6.049)
Steepest-intra-GreedyHeuristic,0.5088 (0.097 - 0.975),0.7702 (0.29 - 1.346),0.4663 (0.098 - 1.276),0.6465 (0.192 - 1.369)
Steepest-intra-Random,13.3413 (11.47 - 14.974) ,13.4566 (11.687 - 15.82),13.4207 (11.314 - 15.922),13.4603 (11.31 - 16.297)
Steepest-inter-GreedyHeuristic,0.9068 (0.121 - 2.233),1.4897 (0.589 - 2.549),1.0014 (0.24 - 2.461),1.2668 (0.241 - 2.365)
Steepest-inter-Random,23.7035 (20.867 - 26.497) ,24.1494 (21.11 - 28.023),22.11 (20.15 – 27.336),24.349 (21.563 – 29.034)
