,Algorithm,TSPA,TSPB,TSPC,TSPD
0,ILS,4197.75 (3991 - 4326),4160.4 (4054 - 4370),4206.3(3835 - 4365),4184.95(4009 - 4349)
1,LSNS_LS,1827.85 (1328.0 - 2325.0),1942.75 (1353.0 - 2558.0),1674.45 (1123.0 - 2196.0),1823.9 (1249.0 - 2392.0)
2,LSNS_noLS,2268.0 (1633.0 - 2723.0),2400.75 (1724.0 - 2931.0),2326.15 (1654.0 - 2848.0),2313.25 (1636.0 - 2854.0)
,
3,HEA_oper1_LS,5346.1 (3412 - 7191),7223.35 (4615 - 8928),3857.9 (3077 - 5475),4626.95 (3330 - 5847)
4,HEA_oper1_noLS,3624639.45 (3595274 - 3663433),3790013.1 (3763971 - 3817952),3603259.1 (3532825 - 3634250),3653376.0 (3606872 - 3698766)
5,HEA_oper2_LS,7670.55 (5536 - 13233),9007.85 (5469 - 16230),6512.85 (3794 - 10266),6944.95 (4534 - 11800)
6,HEA_oper2_noLS,14150.3 (7998 - 31735),15206.4 (8896 - 33472),13260.35 (7623 - 26872),12414.55 (6152 - 34599)
